	Well	Row	Column	Experiment	Name	Type	Replicate	NEB Sol A (uL)	NEB Sol B (uL)	NEB Sol B -Ribos (uL)	OnePot PMx BE #1 (uL)	OnePot PMx BE #2 (uL)	OnePot PMx BE #3 (uL)	OnePot PMx BE #4 (uL)	OnePot PMx BE #5 (uL)	OnePot PMx OG #1 (uL)	b.next PMx (uL)	bn Ribosome (uL)	RNase Inhibitor (uL)	pT7-plamGFP (uL)	Ultrapure water (uL)	Mg2+ Supplement (mM)	OnePot SMx (uL)	Fresh SMx (uL)	OnePot tRNA (uL)	OnePot Ribos #1 (uL)	OnePot Ribos #2 (uL)	Poison	NEB Solution A (uL)	NEB Solution B (uL)	Dialysis Buffer #1 (uL)	Dialysis Buffer #2 (uL)	Dialysis Buffer #3 (uL)	ArgRS Protein (uL)	Ultrapure Water (uL)
72	I2	I	2	Full Send	OnePot OG #1 -	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	0.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
73	I4	I	4	Full Send	OnePot OG #1 -	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	0.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74	I6	I	6	Full Send	OnePot OG #1 -	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	1.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75	I8	I	8	Full Send	OnePot OG #1 -	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	1.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76	I10	I	10	Full Send	OnePot OG #1 -	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	2.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77	I12	I	12	Full Send	OnePot OG #1 -	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	2.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
78	I14	I	14	Full Send	OnePot OG #1 -	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	3.0	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79	I16	I	16	Full Send	OnePot OG #1 -	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.25	1.25	4.5	3.5	7.5	0.0	2.5	2.5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80	K2	K	2	Full Send	b.next +	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	4.5	0.0	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81	K4	K	4	Full Send	b.next +	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	4.5	0.5	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82	K6	K	6	Full Send	b.next +	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	4.5	1.0	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83	K8	K	8	Full Send	b.next +	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	4.5	1.5	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84	K10	K	10	Full Send	b.next +	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	4.5	2.0	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	K12	K	12	Full Send	b.next +	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	4.5	2.5	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86	K14	K	14	Full Send	b.next +	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	4.5	3.0	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87	K16	K	16	Full Send	b.next +	Sample	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	4.5	3.5	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88	M2	M	2	Full Send	SMx +	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	0.0	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89	M4	M	4	Full Send	SMx +	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	0.5	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90	M6	M	6	Full Send	SMx +	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	1.0	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91	M8	M	8	Full Send	SMx +	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	1.5	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92	M10	M	10	Full Send	SMx +	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	2.0	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93	M12	M	12	Full Send	SMx +	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	2.5	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94	M14	M	14	Full Send	SMx +	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	3.0	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95	M16	M	16	Full Send	SMx +	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	3.5	7.5	0.0	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96	A19	A	19	Full Send	Fresh SMx +DNA	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	0.0	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97	C19	C	19	Full Send	Fresh SMx +DNA	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	0.5	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98	E19	E	19	Full Send	Fresh SMx +DNA	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	1.0	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99	G19	G	19	Full Send	Fresh SMx +DNA	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	1.5	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	I19	I	19	Full Send	Fresh SMx +DNA	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	2.0	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101	K19	K	19	Full Send	Fresh SMx +DNA	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	2.5	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
102	M19	M	19	Full Send	Fresh SMx +DNA	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	3.0	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
103	O19	O	19	Full Send	Fresh SMx +DNA	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	3.5	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
104	A21	A	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	0.0	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
105	C21	C	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	0.5	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
106	E21	E	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	1.0	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
107	G21	G	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	1.5	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
108	I21	I	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	2.0	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
109	K21	K	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	2.5	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
110	M21	M	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	3.0	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
111	O21	O	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	1	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	3.5	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
112	B19	B	19	Full Send	Fresh SMx +DNA	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	0.0	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
113	D19	D	19	Full Send	Fresh SMx +DNA	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	0.5	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
114	F19	F	19	Full Send	Fresh SMx +DNA	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	1.0	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
115	H19	H	19	Full Send	Fresh SMx +DNA	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	1.5	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
116	J19	J	19	Full Send	Fresh SMx +DNA	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	2.0	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
117	L19	L	19	Full Send	Fresh SMx +DNA	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	2.5	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
118	N19	N	19	Full Send	Fresh SMx +DNA	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	3.0	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
119	P19	P	19	Full Send	Fresh SMx +DNA	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	3.5	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
120	B21	B	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	0.0	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
121	D21	D	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	0.5	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
122	F21	F	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	1.0	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
123	H21	H	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	1.5	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
124	J21	J	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	2.0	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
125	L21	L	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	2.5	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
126	N21	N	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	3.0	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
127	P21	P	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	7.0	3.5	0.0	7.5	2.5	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	B23	B	23	Poisoning	DB 1	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Dialysis Buffer 1	4.0	3.0	1.0	0.0	0.0	0.0	1.0
1	D23	D	23	Poisoning	DB 2	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Dialysis Buffer 2	4.0	3.0	0.0	1.0	0.0	0.0	1.0
2	F23	F	23	Poisoning	DB 3	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Dialysis Buffer 3	4.0	3.0	0.0	0.0	1.0	0.0	1.0
3	H23	H	23	Poisoning	Spike In	Sample	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ArgRS Spike In	4.0	3.0	0.0	0.0	0.0	1.0	1.0
4	J23	J	23	Poisoning	+	Control	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Control	4.0	3.0	0.0	0.0	0.0	0.0	2.0
