,Time,Temperature,Well,Data,Row,Column,Read,Plate,Clock Time,Reader,Name,[DNA] (nM),[PMix] (mg/mL),[Ribosome] (uM),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[Potassium glutamate] (mM),[ATP] (mM),[GTP] (mM),[Amino Acids] (mM),[tRNA] (ug/uL),hepes mM,ppk uM,polyphosphate mM,ctp mM,utp mM,tcep mM,folinic_acid mM,spermidine mM,rnas_inh U/ml,[Magnesium acetate] (mM) conc_to_add,[Magnesium acetate] (mM) vol_to_pipette_ul,[Creatine phosphate] (mM) conc_to_add,[Creatine phosphate] (mM) vol_to_pipette_ul,[Potassium glutamate] (mM) conc_to_add,[Potassium glutamate] (mM) vol_to_pipette_ul,[ATP] (mM) conc_to_add,[ATP] (mM) vol_to_pipette_ul,[GTP] (mM) conc_to_add,[GTP] (mM) vol_to_pipette_ul,[Amino Acids] (mM) conc_to_add,[Amino Acids] (mM) vol_to_pipette_ul,[tRNA] (ug/uL) conc_to_add,[tRNA] (ug/uL) vol_to_pipette_ul,base_master_mix_vol_to_add_ul,total_titration_vol_to_add_ul,buffer_vol_to_add_ul,total_vol_check_ul,Type
742,0 days 01:00:22,37.0,G12,6980,G,12,GFP-Gext,Plate 1,2026-03-19 13:02:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
743,0 days 01:05:22,37.0,G12,7283,G,12,GFP-Gext,Plate 1,2026-03-19 13:07:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
744,0 days 01:10:22,37.0,G12,7397,G,12,GFP-Gext,Plate 1,2026-03-19 13:12:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
745,0 days 01:15:22,37.0,G12,7578,G,12,GFP-Gext,Plate 1,2026-03-19 13:17:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
746,0 days 01:20:22,37.0,G12,7741,G,12,GFP-Gext,Plate 1,2026-03-19 13:22:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
747,0 days 01:25:22,37.1,G12,7729,G,12,GFP-Gext,Plate 1,2026-03-19 13:27:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
748,0 days 01:30:22,37.1,G12,7743,G,12,GFP-Gext,Plate 1,2026-03-19 13:32:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
749,0 days 01:35:22,37.0,G12,7875,G,12,GFP-Gext,Plate 1,2026-03-19 13:37:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
750,0 days 01:40:22,37.0,G12,7859,G,12,GFP-Gext,Plate 1,2026-03-19 13:42:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
751,0 days 01:45:22,37.0,G12,7947,G,12,GFP-Gext,Plate 1,2026-03-19 13:47:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
752,0 days 01:50:22,36.9,G12,7968,G,12,GFP-Gext,Plate 1,2026-03-19 13:52:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
753,0 days 01:55:22,37.0,G12,7893,G,12,GFP-Gext,Plate 1,2026-03-19 13:57:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
754,0 days 02:00:22,37.0,G12,8006,G,12,GFP-Gext,Plate 1,2026-03-19 14:02:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
755,0 days 02:05:22,37.0,G12,8044,G,12,GFP-Gext,Plate 1,2026-03-19 14:07:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
756,0 days 02:10:22,37.0,G12,8070,G,12,GFP-Gext,Plate 1,2026-03-19 14:12:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
757,0 days 02:15:22,37.0,G12,7997,G,12,GFP-Gext,Plate 1,2026-03-19 14:17:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
758,0 days 02:20:22,37.0,G12,8109,G,12,GFP-Gext,Plate 1,2026-03-19 14:22:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
759,0 days 02:25:22,37.0,G12,8159,G,12,GFP-Gext,Plate 1,2026-03-19 14:27:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
760,0 days 02:30:22,37.1,G12,8123,G,12,GFP-Gext,Plate 1,2026-03-19 14:32:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
761,0 days 02:35:22,37.0,G12,8170,G,12,GFP-Gext,Plate 1,2026-03-19 14:37:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
762,0 days 02:40:22,37.0,G12,8266,G,12,GFP-Gext,Plate 1,2026-03-19 14:42:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
763,0 days 02:45:22,37.1,G12,8105,G,12,GFP-Gext,Plate 1,2026-03-19 14:47:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
764,0 days 02:50:22,37.0,G12,8179,G,12,GFP-Gext,Plate 1,2026-03-19 14:52:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
765,0 days 02:55:22,37.0,G12,8204,G,12,GFP-Gext,Plate 1,2026-03-19 14:57:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
766,0 days 03:00:22,37.0,G12,8137,G,12,GFP-Gext,Plate 1,2026-03-19 15:02:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
767,0 days 03:05:22,37.0,G12,8172,G,12,GFP-Gext,Plate 1,2026-03-19 15:07:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
768,0 days 03:10:22,37.0,G12,8217,G,12,GFP-Gext,Plate 1,2026-03-19 15:12:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
769,0 days 03:15:22,37.0,G12,8354,G,12,GFP-Gext,Plate 1,2026-03-19 15:17:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
770,0 days 03:20:22,37.0,G12,8298,G,12,GFP-Gext,Plate 1,2026-03-19 15:22:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
771,0 days 03:25:22,37.1,G12,8385,G,12,GFP-Gext,Plate 1,2026-03-19 15:27:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
772,0 days 03:30:22,36.9,G12,8342,G,12,GFP-Gext,Plate 1,2026-03-19 15:32:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
773,0 days 03:35:22,37.1,G12,8452,G,12,GFP-Gext,Plate 1,2026-03-19 15:37:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
774,0 days 03:40:22,37.0,G12,8348,G,12,GFP-Gext,Plate 1,2026-03-19 15:42:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
775,0 days 03:45:22,37.0,G12,8452,G,12,GFP-Gext,Plate 1,2026-03-19 15:47:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
776,0 days 03:50:22,37.0,G12,8492,G,12,GFP-Gext,Plate 1,2026-03-19 15:52:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
777,0 days 03:55:22,37.1,G12,8463,G,12,GFP-Gext,Plate 1,2026-03-19 15:57:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
778,0 days 04:00:22,37.0,G12,8482,G,12,GFP-Gext,Plate 1,2026-03-19 16:02:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
779,0 days 04:05:22,37.1,G12,8497,G,12,GFP-Gext,Plate 1,2026-03-19 16:07:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
780,0 days 04:10:22,37.0,G12,8509,G,12,GFP-Gext,Plate 1,2026-03-19 16:12:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
781,0 days 04:15:22,37.0,G12,8588,G,12,GFP-Gext,Plate 1,2026-03-19 16:17:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
782,0 days 04:20:22,37.0,G12,8587,G,12,GFP-Gext,Plate 1,2026-03-19 16:22:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
783,0 days 04:25:22,37.1,G12,8728,G,12,GFP-Gext,Plate 1,2026-03-19 16:27:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
784,0 days 04:30:22,37.0,G12,8644,G,12,GFP-Gext,Plate 1,2026-03-19 16:32:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
785,0 days 04:35:22,37.0,G12,8778,G,12,GFP-Gext,Plate 1,2026-03-19 16:37:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
786,0 days 04:40:22,37.0,G12,8799,G,12,GFP-Gext,Plate 1,2026-03-19 16:42:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
787,0 days 04:45:22,37.0,G12,8721,G,12,GFP-Gext,Plate 1,2026-03-19 16:47:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
788,0 days 04:50:22,37.0,G12,8960,G,12,GFP-Gext,Plate 1,2026-03-19 16:52:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
789,0 days 04:55:22,37.1,G12,8812,G,12,GFP-Gext,Plate 1,2026-03-19 16:57:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
790,0 days 05:00:22,37.1,G12,8925,G,12,GFP-Gext,Plate 1,2026-03-19 17:02:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
791,0 days 05:05:22,37.0,G12,9028,G,12,GFP-Gext,Plate 1,2026-03-19 17:07:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
792,0 days 05:10:22,37.0,G12,8984,G,12,GFP-Gext,Plate 1,2026-03-19 17:12:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
793,0 days 05:15:22,37.1,G12,9055,G,12,GFP-Gext,Plate 1,2026-03-19 17:17:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
794,0 days 05:20:22,37.0,G12,9100,G,12,GFP-Gext,Plate 1,2026-03-19 17:22:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
795,0 days 05:25:22,37.0,G12,9073,G,12,GFP-Gext,Plate 1,2026-03-19 17:27:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
796,0 days 05:30:22,37.0,G12,9162,G,12,GFP-Gext,Plate 1,2026-03-19 17:32:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
797,0 days 05:35:22,37.0,G12,9164,G,12,GFP-Gext,Plate 1,2026-03-19 17:37:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
798,0 days 05:40:22,37.0,G12,9221,G,12,GFP-Gext,Plate 1,2026-03-19 17:42:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
799,0 days 05:45:22,37.0,G12,9291,G,12,GFP-Gext,Plate 1,2026-03-19 17:47:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
800,0 days 05:50:22,37.0,G12,9191,G,12,GFP-Gext,Plate 1,2026-03-19 17:52:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
801,0 days 05:55:22,37.0,G12,9257,G,12,GFP-Gext,Plate 1,2026-03-19 17:57:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
802,0 days 06:00:22,37.0,G12,9302,G,12,GFP-Gext,Plate 1,2026-03-19 18:02:56,Cytation5,8,5.0,1.8,1.8,6.0,60.0,55.0,2.6,3.0,0.259,3.99,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.5,0.026,60.0,0.6,56.0,0.224,2.612,0.261,2.991,0.299,0.26,0.8,4.0,1.143,5.407,3.353,1.24,10.0,Sample
803,0 days 00:00:22,27.7,G13,398,G,13,GFP-Gext,Plate 1,2026-03-19 12:02:56,Cytation5,28,5.0,1.8,1.8,6.0,30.0,65.0,1.9,1.9,0.399,2.135,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,6.3,0.025,30.1,0.301,65.9,0.264,1.924,0.192,1.946,0.195,0.4,1.231,2.126,0.607,5.407,2.815,1.778,10.0,Sample
